sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
63,lissajous,1.5,55,SUCCESS,,,2026-02-13T05:14:16.634453,0.181,0,0.217,-0.181,1.6,275.3,5.72,17.05,0.5774,0.030856,0.129443,130,130,16900,2601,70634,28985,14,,,,,,,,,,,,,,,,4,2,2
64,square,8,75,SUCCESS,,2,2026-02-13T05:16:05.207244,4.008,0,0.63,-4.008,1.6,321,15.63,33.32,0.5774,0.029888,0.126588,130,130,16900,2601,81359,30360,,,,,,,10,,,,,,,,,,,,
65,figure8,4,45,FAILED,,,2026-02-13T05:22:41.668534,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,,
66,lissajous,2.5,75,FAILED,,,2026-02-13T05:35:13.447636,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,4,3,4
67,ellipse,2,55,FAILED,,,2026-02-13T05:42:22.138868,,,,,,,,,,,,,,,,,,,,1,,16,6.7,,,,,,,,,,,,,
68,spiral,4.5,60,SUCCESS,,,2026-02-13T05:43:39.538770,1.794,0,0.426,-1.794,1.6,299.7,11.36,27.33,0.5774,0.029702,0.126772,130,130,16900,2601,78412,30230,,,2,8,,,,,,,,,,,,,,,
69,circular,4.5,75,SUCCESS,7,,2026-02-13T05:48:02.336072,1.693,0,0.436,-1.693,1.6,299.1,11.22,26.93,0.5774,0.029827,0.126937,130,130,16900,2601,78001,30149,,,4,,,,,,,,,,,,,,,,
70,lissajous,1,65,SUCCESS,,,2026-02-13T05:49:34.391590,0.462,0,0.157,-0.462,1.6,224.8,3.83,12.67,0.5774,0.032641,0.132981,130,130,16900,2601,64064,28533,14,,,,,,,,,,,,,,,,3,5,3
71,lissajous,6,50,SUCCESS,,,2026-02-13T05:51:54.903725,2.569,0,0.495,-2.569,1.6,304,11.29,26.54,0.5774,0.030503,0.127966,130,130,16900,2601,79095,29670,8,,,,,,,,,,,,,,,,4,3,4
72,ellipse,1,60,SUCCESS,,,2026-02-13T05:56:39.666823,1.262,0,0.228,-1.262,1.6,259.4,6.64,19.22,0.7111,0.032562,0.13259,130,130,16900,2601,64470,29205,,,3,,16,7.7,,,,,,,,,,,,,
73,spiral,6,75,UPLOAD_FAILED,,,2026-02-13T05:57:04.198346,,,,,,,,,,,,,,,,,,,,5,13,,,,,,,,,,,,,,,
74,spiral_inward,5,65,UPLOAD_FAILED,,,2026-02-13T05:57:05.305014,,,,,,,,,,,,,,,,,,,,4,14,,,,,,,,,,,,,,,
75,rose,1.5,75,SUCCESS,,,2026-02-13T05:58:46.212380,0.112,0,0.221,0.112,1.6,263.3,6.82,20.05,0.5774,0.03161,0.131089,130,130,16900,2601,67229,28843,8,6,2,,,,,,,,,,,,,,,,
76,hexagon,1,45,SUCCESS,11,1,2026-02-13T06:00:50.727792,0.403,0,0.196,0.403,1.6,264.2,5.87,18.52,0.5774,0.032081,0.132,130,130,16900,2601,63424,28640,,,,,,,,,,,,,,,,,,,
77,hexagon,6,40,SUCCESS,7,1,2026-02-13T06:02:06.638766,2.743,0,0.489,-2.743,1.6,307.8,14.27,31.77,0.5774,0.02919,0.125689,130,130,16900,2601,82536,30785,,,,,,,,,,,,,,,,,,,
78,spiral_inward,5,65,SUCCESS,,,2026-02-13T06:05:47.272159,1.934,0,0.393,-1.934,1.6,304.6,13.47,30.82,0.5774,0.0289,0.125312,130,130,16900,2601,83000,30981,,,5,12,,,,,,,,,,,,,,,
79,concentric,8,55,FAILED,,,2026-02-13T06:08:06.173641,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,5,6,,,
80,hexagon,2,60,SUCCESS,9,3,2026-02-13T06:12:36.111400,0.193,0,0.274,-0.193,1.6,272.9,7.69,21.21,0.5774,0.031112,0.130004,130,130,16900,2601,68565,28720,,,,,,,,,,,,,,,,,,,
81,circular,7.5,45,SUCCESS,4,,2026-02-13T06:13:52.422126,3.42,0,0.556,-3.42,1.6,317.1,17.54,36.73,0.5774,0.028849,0.124859,130,130,16900,2601,86112,31223,,,1,,,,,,,,,,,,,,,,
82,circular,2.5,45,SUCCESS,8,,2026-02-13T06:17:49.830555,0.498,0,0.302,-0.498,1.6,263.4,8.83,23.38,0.5774,0.030457,0.128669,130,130,16900,2601,72456,29298,,,3,,,,,,,,,,,,,,,,
83,hexagon,5.5,75,FAILED,16,2,2026-02-13T06:20:56.965627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,spiral,4,50,SUCCESS,,,2026-02-13T06:23:05.119954,1.472,0,0.403,-1.472,1.6,289.7,11.07,26.75,0.5774,0.029577,0.126566,130,130,16900,2601,77802,30335,,,4,9,,,,,,,,,,,,,,,
85,circular,3.5,70,SUCCESS,11,,2026-02-13T06:29:58.240181,1.174,0,0.425,-1.174,1.6,328.2,10.38,25.89,1.057,0.030929,0.129339,130,130,16900,2601,73565,29262,,,3,,,,,,,,,,,,,,,,
86,circular,2,70,SUCCESS,11,,2026-02-13T06:36:35.846938,0.62,0,0.3,-0.62,1.6,276.4,7.76,21.55,0.5774,0.031314,0.130245,130,130,16900,2601,67969,28587,,,3,,,,,,,,,,,,,,,,
87,figure8,6.5,70,SUCCESS,,,2026-02-13T06:38:40.394991,2.947,0,0.47,-2.947,1.6,320.5,12.96,30.19,0.5774,0.029589,0.126109,130,130,16900,2601,82191,30762,8,,,,,,,,,,,,,1,,,,,
88,circular,4,70,UPLOAD_FAILED,6,,2026-02-13T06:39:04.714980,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
89,concentric,7.5,55,SUCCESS,,,2026-02-13T06:41:01.639091,3.55,0,0.619,-3.55,1.6,330.6,15.74,34.13,0.5774,0.029534,0.125844,130,130,16900,2601,83324,30742,,,,7,,,,,,,,,,,3,4,,,
90,spiral_inward,1.5,75,SUCCESS,,,2026-02-13T06:44:42.834881,0.246,0,0.182,0.246,1.6,250.3,5.81,17.72,0.5774,0.031914,0.131751,130,130,16900,2601,67893,28883,,,5,8,,,,,,,,,,,,,,,
91,star,4,55,SUCCESS,,,2026-02-13T06:46:15.148718,1.429,0,0.426,-1.429,1.6,280.7,11.85,28.13,0.5774,0.029695,0.126811,130,130,16900,2601,76926,30214,,,,,,,,,,,12,5.1,5,,,,,,
92,hexagon,7.5,70,SUCCESS,4,1,2026-02-13T06:47:31.201170,3.427,0,0.557,-3.427,1.6,304.8,17.72,37.04,0.5774,0.028844,0.124862,130,130,16900,2601,86175,31221,,,,,,,,,,,,,,,,,,,
93,figure8,7,50,FAILED,,,2026-02-13T06:49:49.839084,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,,
94,rose,6,60,FAILED,,,2026-02-13T06:53:13.732830,,,,,,,,,,,,,,,,,,12,2,1,,,,,,,,,,,,,,,,
95,rose,7,45,SUCCESS,,,2026-02-13T06:54:30.615371,3.271,0,0.54,-3.271,1.6,306.9,15.81,34.14,0.5774,0.029023,0.125239,130,130,16900,2601,84154,31032,6,4,2,,,,,,,,,,,,,,,,
96,lissajous,7.5,65,FAILED,,,2026-02-13T07:02:11.018222,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,2,4,3
97,figure8,4,70,FAILED,,,2026-02-13T07:09:05.225081,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,3,,,,,
98,square,5,45,SUCCESS,,1,2026-02-13T07:10:54.354013,2.065,0,0.48,-2.065,1.6,293,13.21,29.9,0.5774,0.030165,0.1276,130,130,16900,2601,77255,29819,,,,,,,16,,,,,,,,,,,,
99,circular,1,45,SUCCESS,16,,2026-02-13T07:15:23.761351,1.084,0,0.242,-1.084,1.6,281.1,6.46,18.52,0.6088,0.032783,0.133126,130,130,16900,2601,64182,29026,,,4,,,,,,,,,,,,,,,,
100,spiral,2,75,SUCCESS,,,2026-02-13T07:19:04.377194,0.507,0,0.295,-0.507,1.6,271.8,8.03,22.21,0.5774,0.030993,0.129615,130,130,16900,2601,68884,28884,,,4,11,,,,,,,,,,,,,,,
101,circular,4,60,UPLOAD_FAILED,16,,2026-02-13T07:19:28.874989,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
102,spiral,8,60,FAILED,,,2026-02-13T07:21:56.182023,,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,,,,,,
103,spiral_inward,2,65,DOWNLOAD_FAILED,,,2026-02-13T07:25:05.934299,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,,,
104,ellipse,1.5,75,UPLOAD_FAILED,,,2026-02-13T07:25:30.522407,,,,,,,,,,,,,,,,,,,,3,,12,7.7,,,,,,,,,,,,,
105,square,2,75,SUCCESS,,3,2026-02-13T07:28:31.878545,0.184,0,0.239,-0.184,1.6,261.9,7.21,19.99,0.5774,0.031551,0.130966,130,130,16900,2601,69379,28937,,,,,,,8,,,,,,,,,,,,
106,lissajous,6,60,UPLOAD_FAILED,,,2026-02-13T07:28:57.655573,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,2,3,4
107,star,2.5,65,SUCCESS,,,2026-02-13T07:34:40.139446,2.662,0,0.532,-2.662,1.6,308.8,11.53,27.11,1.113,0.031277,0.129441,130,130,16900,2601,79116,29377,,,,,,,,,,,16,7.4,7,,,,,,
108,ellipse,5,45,SUCCESS,,,2026-02-13T07:36:46.063124,0.578,0,0.361,-0.578,1.6,302.9,9.58,25.33,0.5774,0.031102,0.129525,130,130,16900,2601,69437,29039,,,3,,12,7.9,,,,,,,,,,,,,
109,circular,6.5,50,SUCCESS,4,,2026-02-13T07:39:22.722383,2.042,0,0.507,-2.042,1.6,298,13.6,30.88,0.5774,0.029359,0.125797,130,130,16900,2601,80661,30735,,,4,,,,,,,,,,,,,,,,
110,square,4,75,SUCCESS,,1,2026-02-13T07:40:23.200345,2.848,0,0.489,-2.848,1.6,316.4,14.08,31.53,0.5774,0.029229,0.125668,130,130,16900,2601,82963,30810,,,,,,,20,,,,,,,,,,,,
111,square,6,75,SUCCESS,,1,2026-02-13T07:41:55.661069,1.461,0,0.449,-1.461,1.6,288.8,11.63,27.78,0.5774,0.031112,0.129339,130,130,16900,2601,72665,29059,,,,,,,12,,,,,,,,,,,,
112,spiral,6.5,65,SUCCESS,,,2026-02-13T07:42:23.315568,2.696,0,0.509,-2.696,1.6,293.7,14.62,32.03,0.5774,0.02964,0.126529,130,130,16900,2601,80447,30354,,,4,11,,,,,,,,,,,,,,,
113,lissajous,5,60,FAILED,,,2026-02-13T07:44:41.751251,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,3,4
114,zigzag,2,70,SUCCESS,,,2026-02-13T07:47:04.344335,2.178,0,0.442,-2.178,1.6,310.1,10.4,25.74,0.5774,0.030652,0.128289,130,130,16900,2601,78693,29519,,,,,,,,10,22,7,,,,,,,,,
115,spiral,4,70,SUCCESS,,,2026-02-13T07:48:20.653106,0.25,0,0.261,-0.25,1.6,255,7.69,21.43,0.5774,0.03223,0.132214,130,130,16900,2601,69332,29005,,,2,11,,,,,,,,,,,,,,,
116,zigzag,4,60,SUCCESS,,,2026-02-13T07:49:04.717964,1.439,0,0.44,-1.439,1.6,306,11.05,27.12,0.5774,0.030316,0.127885,130,130,16900,2601,74843,29686,,,,,,,,14,26,5,,,,,,,,,
