sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
40,figure8,1.5,55.0,SUCCESS,,,2026-02-13T04:05:55.204013,1.6,1.095,0.731,0.0,1.6,263.8,5.53,16.92,0.5774,0.031202,0.130245,65.0,65.0,4225.0,1950.0,67591.0,28708.0,12.0,,,,,,,,,,,,,4.0,,,,,
41,lissajous,7.0,65.0,UPLOAD_FAILED,,,2026-02-13T04:06:19.616573,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,2.0,4.0
42,spiral_inward,2.0,65.0,SUCCESS,,,2026-02-13T04:08:32.746917,1.6,1.098,0.726,0.0,1.6,260.6,7.09,19.96,0.5774,0.030719,0.129346,65.0,65.0,4225.0,1950.0,73995.0,29334.0,,,3.0,9.0,,,,,,,,,,,,,,,
43,circular,4.0,60.0,SUCCESS,4.0,,2026-02-13T04:10:37.368265,1.6,1.099,0.719,0.0,1.6,271.1,10.38,25.52,0.5774,0.02941,0.126408,65.0,65.0,4225.0,1921.0,78875.0,30415.0,,,3.0,,,,,,,,,,,,,,,,
44,circular,8.0,60.0,SUCCESS,8.0,,2026-02-13T04:12:41.325048,1.6,1.088,0.712,0.0,1.6,328.1,15.57,33.61,0.5774,0.030052,0.126364,65.0,65.0,4225.0,1831.0,81938.0,30730.0,,,3.0,,,,,,,,,,,,,,,,
45,concentric,5.5,50.0,FAILED,,,2026-02-13T04:25:42.806140,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,4.0,6.0,,,
46,rose,7.5,45.0,SUCCESS,,,2026-02-13T04:26:59.651256,1.6,1.097,0.708,0.0,1.6,322.3,16.52,35.34,0.5774,0.0291,0.125239,65.0,65.0,4225.0,1857.0,84611.0,31040.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,
47,zigzag,5.0,75.0,UPLOAD_FAILED,,,2026-02-13T04:27:24.080471,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,3.0,,,,,,,,,
48,ellipse,1.5,55.0,SUCCESS,,,2026-02-13T04:31:13.502891,1.6,1.099,0.726,0.0,1.6,263.4,6.8,19.92,0.5774,0.031653,0.131181,65.0,65.0,4225.0,1951.0,66695.0,28874.0,,,2.0,,8.0,5.3,,,,,,,,,,,,,
49,ellipse,6.5,75.0,FAILED,,,2026-02-13T04:33:48.329032,,,,,,,,,,,,,,,,,,,,3.0,,14.0,12.0,,,,,,,,,,,,,
50,spiral_inward,6.5,50.0,UPLOAD_FAILED,,,2026-02-13T04:34:14.004207,,,,,,,,,,,,,,,,,,,,4.0,14.0,,,,,,,,,,,,,,,
